post_type,post_title,post_content,post_excerpt,flight_number,takeoff_airport,landing_airport,takeoff_datetime_local,landing_datetime_local,flight_duration_hours,release_altitude_feet,maximum_altitude_feet,maximum_gps_altitude_feet,pilot_front,pilot_rear,data_ac,data_adp,data_imu,data_kml,data_uv
flight,Flight 0001,First Flight,First Flight,1,KRDM,KRDM,2015-09-23 08:18,2015-09-23 08:51,0.6,8100,8100,,Jim Payne,Morgan Sandercock,,,,,
flight,Flight 0002,flight testing,flight testing,2,KMEV,KMEV,2016-01-15 13:07,2016-01-15 13:50,0.7,10800,10800,,Jim Payne,Miguel Iturmendi,,,,,
flight,Flight 0003,,,3,KMEV,KMEV,2016-01-15 14:20,2016-01-15 15:02,0.7,10700,10700,,Jim Payne,Miguel Iturmendi,,,,,
flight,Flight 0004,,,4,KMEV,KMEV,2016-01-27 14:23,2016-01-27 14:45,0.4,7600,7600,,Jim Payne,,,,,,
flight,Flight 0005,,,5,KMEV,KMEV,2016-01-27 15:25,2016-01-27 15:55,0.5,8700,8700,,Jim Payne,,,,,,
flight,Flight 0006,,,6,KMEV,KMEV,2016-01-27 16:35,2016-01-27 17:03,0.5,8700,8700,,Jim Payne,,,,,,
flight,Flight 0007,,,7,KMEV,KMEV,2016-02-13 15:41,2016-02-13 16:27,0.7,10700,10700,,Jim Payne,Miguel Iturmendi,,,,,
flight,Flight 0008,,,8,KMEV,KMEV,2016-02-13 17:02,2016-02-13 17:37,0.6,9500,9500,,Jim Payne,Miguel Iturmendi,,,,,
flight,Flight 0009,,,9,KMEV,KMEV,2016-02-28 15:53,2016-02-28 17:34,0.7,10700,10700,,Jim Payne,,,,,,
flight,Flight 0010,first with rebreather,first with rebreather,10,KMEV,KMEV,2016-03-21 08:59,2016-03-21 10:01,1.0,9300,9300,,Jim Payne,Tom Enders,,,,,
flight,Flight 0011,,,11,KMEV,KMEV,2016-04-13 12:02,2016-04-13 12:53,0.8,10100,11400,,Jim Payne,Miguel Iturmendi,,,,,
flight,Flight 0012,drogue test,drogue test,12,KMEV,KMEV,2016-04-29 11:58,2016-04-29 12:23,0.4,9700,9700,,Jim Payne,,,,,,
