flight_number,flight_date,city,airport,takeoff_time_local,landing_time_local,duration,release_altitude_feet,maximum_altitude_feet,maximum_gps_altitude_feet,significance,pilot_front,pilot_rear,data_ac,data_uv,data_kml,data_adp,data_imu
1,2015-09-23,"Redmond, OR",KRDM,818.0,851.0,0.6,8100.0,8100.0,,First Flight,Jim Payne,Morgan Sandercock,,,,,
2,2016-01-15,"Minden, NV",KMEV,1307.0,1350.0,0.7,10800.0,10800.0,,flight testing,Jim Payne,Miguel Iturmendi,,,,,
3,2016-01-15,"Minden, NV",KMEV,1420.0,1502.0,0.7,10700.0,10700.0,,,Jim Payne,Miguel Iturmendi,,,,,
4,2016-01-27,"Minden, NV",KMEV,1423.0,1445.0,0.4,7600.0,7600.0,,,Jim Payne,,,,,,
5,2016-01-27,"Minden, NV",KMEV,1525.0,1555.0,0.5,8700.0,8700.0,,,Jim Payne,,,,,,
6,2016-01-27,"Minden, NV",KMEV,1635.0,1703.0,0.5,8700.0,8700.0,,,Jim Payne,,,,,,
7,2016-02-13,"Minden, NV",KMEV,1541.0,1627.0,0.7,10700.0,10700.0,,,Jim Payne,Miguel Iturmendi,,,,,
8,2016-02-13,"Minden, NV",KMEV,1702.0,1737.0,0.6,9500.0,9500.0,,,Jim Payne,Miguel Iturmendi,,,,,
9,2016-02-28,"Minden, NV",KMEV,1553.0,1734.0,0.7,10700.0,10700.0,,,Jim Payne,,,,,,
10,2016-03-21,"Minden, NV",KMEV,859.0,1001.0,1.0,9300.0,9300.0,,first with rebreather,Jim Payne,Tom Enders,,,,,
11,2016-04-13,"Minden, NV",KMEV,1202.0,1253.0,0.8,10100.0,11400.0,,,Jim Payne,Miguel Iturmendi,,,,,
12,2016-04-29,"Minden, NV",KMEV,1158.0,1223.0,0.4,9700.0,9700.0,,drogue test,Jim Payne,,,,,,
13,2016-05-07,"Minden, NV",KMEV,1555.0,1608.0,0.2,6900.0,6900.0,,Enders demo,Jim Payne,Tom Enders,,,,,
14,2016-05-11,"Minden, NV",KMEV,1126.0,1207.0,0.7,10700.0,10700.0,,,Jim Payne,Doug Perrenod,,,,,
15,2016-05-14,"Minden, NV",KMEV,854.0,1013.0,1.3,9600.0,9600.0,,,Jim Payne,,,,,,
16,2016-05-19,"Minden, NV",KMEV,721.0,825.0,1.1,9600.0,9600.0,,,Jim Payne,Tim Gardner,,,,,
17,2016-05-20,"Minden, NV",KMEV,627.0,833.0,2.1,10000.0,20800.0,,pitch control rub,Jim Payne,Miguel Iturmendi,,,,,
18,2016-06-16,"Minden, NV",KMEV,640.0,1022.0,3.7,10800.0,26300.0,,,Jim Payne,Tim Gardner,,,,,
19,2016-09-09,El Calafate,SAWC,1633.0,1657.0,0.4,4100.0,4100.0,,first EC flight,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0019/Flt0019AC.xlsx,,,,
20,2016-09-11,El Calafate,SAWC,1209.0,1652.0,0.7,6700.0,6700.0,,flutter & TM check,Jim Payne,Tim Gardner,http://localhost/data/Flights/0020/Flt0020AC.xlsx,,,,
21,2016-09-13,El Calafate,SAWC,1214.0,1401.0,1.8,11250.0,11600.0,,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0021/Flt0021AC.xlsx,,http://localhost/data/Flights/0021/Flt0021.kml,,
22,2016-09-18,El Calafate,SAWC,956.0,1208.0,2.2,12600.0,15250.0,,,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0022/Flt0022AC.xlsx,,http://localhost/data/Flights/0022/Flt0022.kml,,
23,2016-09-21,El Calafate,SAWC,1106.0,1605.0,5.0,10400.0,22250.0,,,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0023/Flt0023AC.xlsx,,http://localhost/data/Flights/0023/Flt0023.kml,,
24,2016-09-23,El Calafate,SAWC,1132.0,1437.0,3.1,11800.0,12329.0,,,Jim Payne,,http://localhost/data/Flights/0024/Flt0024AC.xlsx,,,,
25,2016-09-25,El Calafate,SAWC,959.0,1033.0,0.6,6300.0,6300.0,,abort loose O2 hose,Jim Payne,Tim Gardner,http://localhost/data/Flights/0025/Flt0025AC.xlsx,,http://localhost/data/Flights/0025/Flt0025.kml,,
26,2016-09-25,El Calafate,SAWC,1302.0,1440.0,1.6,10800.0,10800.0,,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0026/Flt0025AC.xlsx,,http://localhost/data/Flights/0026/Flt0026.kml,,
27,2017-04-11,"Minden, NV",KMEV,1140.0,1254.0,1.3,10000.0,12922.0,,,Jim Payne,,,,,,
28,2017-04-22,"Minden, NV",KMEV,924.0,1239.0,3.3,10200.0,29843.0,,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0028/Flt0028AC.xlsx,,,,
29,2017-05-12,"Minden, NV",KMEV,830.0,1240.0,4.2,9300.0,30492.0,,new hatch indexing,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0029/Flt0029AC.xlsx,,,,
30,2017-07-18,El Calafate,SAWC,1051.0,1133.0,0.7,6200.0,6200.0,,first Aero Boero tow,Jim Payne,Tim Gardner,http://localhost/data/Flights/0030/Flt0030AC.xlsx,,,,
31,2017-07-24,El Calafate,SAWC,1346.0,1642.0,2.9,12800.0,20100.0,,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0031/Flt0031AC.xlsx,,http://localhost/data/Flights/0031/Flt0031.kml,,
32,2017-07-31,El Calafate,SAWC,1054.0,1526.0,4.5,10300.0,32579.0,,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0032/Flt0032AC.xlsb,,http://localhost/data/Flights/0032/Flt0032.kml,,
33,2017-08-03,El Calafate,SAWC,1254.0,1722.0,4.5,9700.0,32460.0,,,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0033/Flt0033AC.xlsb,,http://localhost/data/Flights/0033/Flt0033.kml,,
34,2017-08-14,El Calafate,SAWC,1006.0,1442.0,4.6,10300.0,33204.0,,,Jim Payne,Tim Gardner,http://localhost/data/Flights/0034/Flt0034AC.xlsb,,,,
35,2017-08-19,El Calafate,SAWC,1218.0,1650.0,4.5,10300.0,22287.0,,,Jim Payne,Morgan Sandercock,http://localhost/data/Flights/0035/Flt0035AC.xlsb,,http://localhost/data/Flights/0035/Flt0035.kml,,
36,2017-08-24,El Calafate,SAWC,1420.0,1744.0,3.4,12650.0,16958.0,,,Jim Payne,Miguel Iturmendi,http://localhost/data/Flights/0036/Flt0036AC.xlsb,,http://localhost/data/Flights/0036/Flt0036.kml,,
