kml_file,raw_data,graphs_dir,ts,datetime,year,month,day,time
http://localhost/data/Soundings/07_14_2017.kml,http://localhost/data/Soundings/07_14_2017.zip,,07_14_2017_0000,2017-07-14 00:00:00,2017,7,14,0000
http://localhost/data/Soundings/07_16_2017.kml,http://localhost/data/Soundings/07_16_2017.zip,http://localhost/data/Soundings/07_16_2017_Graphs,07_16_2017_0000,2017-07-16 00:00:00,2017,7,16,0000
,http://localhost/data/Soundings/07_18_2017.zip,http://localhost/data/Soundings/07_18_2017_Graphs,07_18_2017_0000,2017-07-18 00:00:00,2017,7,18,0000
http://localhost/data/Soundings/07_24_2017.kml,http://localhost/data/Soundings/07_24_2017.zip,http://localhost/data/Soundings/07_24_2017_Graphs,07_24_2017_0000,2017-07-24 00:00:00,2017,7,24,0000
http://localhost/data/Soundings/07_25_2017.kml,http://localhost/data/Soundings/07_25_2017.zip,http://localhost/data/Soundings/07_25_2017_Graphs,07_25_2017_0000,2017-07-25 00:00:00,2017,7,25,0000
http://localhost/data/Soundings/07_30_2017.kml,http://localhost/data/Soundings/07_30_2017.zip,http://localhost/data/Soundings/07_30_2017_Graphs,07_30_2017_0000,2017-07-30 00:00:00,2017,7,30,0000
http://localhost/data/Soundings/07_31_2017.kml,http://localhost/data/Soundings/07_31_2017.zip,http://localhost/data/Soundings/07_31_2017_Graphs,07_31_2017_0000,2017-07-31 00:00:00,2017,7,31,0000
http://localhost/data/Soundings/08_01_2017.kml,http://localhost/data/Soundings/08_01_2017.zip,http://localhost/data/Soundings/08_01_2017_Graphs,08_01_2017_0000,2017-08-01 00:00:00,2017,8,1,0000
http://localhost/data/Soundings/08_02_2017.kml,http://localhost/data/Soundings/08_02_2017.zip,http://localhost/data/Soundings/08_02_2017_Graphs,08_02_2017_0000,2017-08-02 00:00:00,2017,8,2,0000
http://localhost/data/Soundings/08_03_2017.kml,http://localhost/data/Soundings/08_03_2017.zip,http://localhost/data/Soundings/08_03_2017_Graphs,08_03_2017_0000,2017-08-03 00:00:00,2017,8,3,0000
http://localhost/data/Soundings/08_04_2017.kml,http://localhost/data/Soundings/08_04_2017.zip,http://localhost/data/Soundings/08_04_2017_Graphs,08_04_2017_0000,2017-08-04 00:00:00,2017,8,4,0000
http://localhost/data/Soundings/08_04_2018.kml,http://localhost/data/Soundings/08_04_2018.zip,,08_04_2018_0000,2018-08-04 00:00:00,2018,8,4,0000
http://localhost/data/Soundings/08_06_2018.kml,http://localhost/data/Soundings/08_06_2018.zip,http://localhost/data/Soundings/08_06_2018_Graphs,08_06_2018_0000,2018-08-06 00:00:00,2018,8,6,0000
http://localhost/data/Soundings/08_07_2017.kml,,,08_07_2017_0000,2017-08-07 00:00:00,2017,8,7,0000
http://localhost/data/Soundings/08_10_2018.kml,http://localhost/data/Soundings/08_10_2018.zip,http://localhost/data/Soundings/08_10_2018_Graphs,08_10_2018_0000,2018-08-10 00:00:00,2018,8,10,0000
http://localhost/data/Soundings/08_11_2018.kml,http://localhost/data/Soundings/08_11_2018.zip,http://localhost/data/Soundings/08_11_2018_Graphs,08_11_2018_0000,2018-08-11 00:00:00,2018,8,11,0000
,http://localhost/data/Soundings/08_12_2017.zip,,08_12_2017_0000,2017-08-12 00:00:00,2017,8,12,0000
